label	index	network_label	label_7network	index_17network	label_17network	network_label_17network	atlas_name	network_id	hemisphere_labels
RH_DorsAttn_Post_4	70.0	DorsAttn	7Networks_RH_DorsAttn_Post_4	67.0	17Networks_RH_DorsAttnA_SPL_1	DorsAttnA	4S156		RH
RH_DorsAttn_Post_5	71.0	DorsAttn	7Networks_RH_DorsAttn_Post_5	69.0	17Networks_RH_DorsAttnB_PostC_2	DorsAttnB	4S156		RH
RH_DorsAttn_PrCv_1	72.0	DorsAttn	7Networks_RH_DorsAttn_PrCv_1	82.0	17Networks_RH_ContA_PFCl_2	ContA	4S156		RH
RH_DorsAttn_FEF_1	73.0	DorsAttn	7Networks_RH_DorsAttn_FEF_1	70.0	17Networks_RH_DorsAttnB_FEF_1	DorsAttnB	4S156		RH
RH_SalVentAttn_TempOccPar_1	74.0	SalVentAttn	7Networks_RH_SalVentAttn_TempOccPar_1	100.0	17Networks_RH_TempPar_3	TempPar	4S156		RH
RH_SalVentAttn_TempOccPar_2	75.0	SalVentAttn	7Networks_RH_SalVentAttn_TempOccPar_2	71.0	17Networks_RH_SalVentAttnA_ParOper_1	SalVentAttnA	4S156		RH
RH_SalVentAttn_FrOperIns_1	76.0	SalVentAttn	7Networks_RH_SalVentAttn_FrOperIns_1	72.0	17Networks_RH_SalVentAttnA_Ins_1	SalVentAttnA	4S156		RH
RH_SalVentAttn_Med_1	77.0	SalVentAttn	7Networks_RH_SalVentAttn_Med_1	73.0	17Networks_RH_SalVentAttnA_ParMed_1	SalVentAttnA	4S156		RH
RH_SalVentAttn_Med_2	78.0	SalVentAttn	7Networks_RH_SalVentAttn_Med_2	74.0	17Networks_RH_SalVentAttnA_FrMed_1	SalVentAttnA	4S156		RH
RH_Limbic_OFC_1	79.0	Limbic	7Networks_RH_Limbic_OFC_1	78.0	17Networks_RH_LimbicB_OFC_1	LimbicB	4S156		RH
RH_Limbic_TempPole_1	80.0	Limbic	7Networks_RH_Limbic_TempPole_1	79.0	17Networks_RH_LimbicA_TempPole_1	LimbicA	4S156		RH
RH_Cont_Par_1	81.0	Cont	7Networks_RH_Cont_Par_1	75.0	17Networks_RH_SalVentAttnB_IPL_1	SalVentAttnB	4S156		RH
RH_Cont_Par_2	82.0	Cont	7Networks_RH_Cont_Par_2	84.0	17Networks_RH_ContB_IPL_1	ContB	4S156		RH
RH_Cont_PFCl_1	83.0	Cont	7Networks_RH_Cont_PFCl_1	86.0	17Networks_RH_ContB_PFClv_1	ContB	4S156		RH
RH_Cont_PFCl_2	84.0	Cont	7Networks_RH_Cont_PFCl_2	81.0	17Networks_RH_ContA_PFCl_1	ContA	4S156		RH
RH_Cont_PFCl_3	85.0	Cont	7Networks_RH_Cont_PFCl_3	76.0	17Networks_RH_SalVentAttnB_PFCl_1	SalVentAttnB	4S156		RH
RH_Cont_PFCl_4	86.0	Cont	7Networks_RH_Cont_PFCl_4	85.0	17Networks_RH_ContB_PFCld_1	ContB	4S156		RH
RH_Cont_Cing_1	87.0	Cont	7Networks_RH_Cont_Cing_1	87.0	17Networks_RH_ContC_Cingp_1	ContC	4S156		RH
